y_plus,u_plus
0.1,0.1029
0.1123,0.1124
0.1262,0.127
0.1417,0.1462
0.1592,0.1569
0.1789,0.1715
0.2009,0.2013
0.2257,0.2278
0.2535,0.2515
0.2848,0.2974
0.3199,0.2961
0.3594,0.3715
0.4037,0.4133
0.4535,0.4597
0.5094,0.4584
0.5722,0.5943
0.6428,0.623
0.7221,0.7111
0.8111,0.807
0.9112,0.9223
1.0235,1.0432
1.1498,1.1806
1.2915,1.3232
1.4508,1.4618
1.6298,1.6501
1.8307,1.7708
2.0565,2.0102
2.3101,2.3722
2.595,2.6602
2.9151,2.9784
3.2745,3.224
3.6784,3.7789
4.132,3.9881
4.6416,4.7916
5.214,5.2073
5.857,6.2845
6.5793,6.4729
7.3907,8.0523
8.3022,8.4813
9.326,9.4456
10.4762,10.6373
11.7681,11.3749
13.2194,12.6256
14.8497,13.3386
16.681,14.2183
18.7382,15.4489
21.049,15.2221
23.6449,15.2821
26.5609,14.4175
29.8365,13.3838
33.516,14.3076
37.6494,13.693
42.2924,14.0186
47.5081,14.7019
53.367,14.7347
59.9484,16.1991
67.3415,15.3923
75.6463,15.9098
84.9753,16.489
95.4548,16.7713
107.2267,18.1015
120.4504,18.224
135.3048,19.7815
151.9911,18.9288
170.7353,19.0657
191.791,19.2766
215.4435,18.9571
242.0128,20.8286
271.8588,19.2062
305.3856,20.9915
343.0469,21.1967
385.3529,23.115
432.8761,20.782
486.2602,21.7168
546.2277,22.5564
613.5907,22.8403
689.2612,22.9187
774.2637,23.5705
869.749,23.0466
977.01,24.534
1097.4988,22.8818
1232.8467,24.8947
1384.8864,24.7772
1555.6761,26.3266
1747.5284,27.2239
1963.0407,25.9147
2205.1307,27.5904
2477.0764,26.5403
2782.5594,26.3159
3125.7158,28.8421
3511.1917,28.1428
3944.2061,28.0148
4430.6215,28.8939
4977.0236,28.8429
5590.8102,28.8427
6280.2914,28.034
7054.8023,29.2474
7924.829,30.3324
8902.1509,29.9518
10000.0,31.1687
